,dir,hir,lvr,ccs,mcs,pbcr,dmi,self,single,uria,comdominiom,black,deny
1,0.221000004,0.221000004,0.8,5,2,no,no,no,no,3.900000095,0,no,no
2,0.265,0.265,0.921875,2,2,no,no,no,yes,3.200000048,0,no,no
3,0.372000008,0.247999992,0.92039801,1,2,no,no,no,no,3.200000048,0,no,no
4,0.32,0.25,0.860465116,1,2,no,no,no,no,4.300000191,0,no,no
5,0.36,0.35,0.6,1,1,no,no,no,no,3.200000048,0,no,no
6,0.24,0.17,0.510526316,1,1,no,no,no,no,3.900000095,0,no,no
7,0.35,0.29,0.746666667,1,2,no,no,no,yes,3.900000095,1,no,no
8,0.28,0.22,0.85,2,2,no,no,no,no,1.799999952,0,no,no
9,0.31,0.24,0.897260274,2,2,no,yes,no,no,3.099999905,0,no,yes
10,0.18,0.17,0.358744395,2,1,no,no,no,yes,3.900000095,0,no,no
11,0.28,0.27,0.223880597,1,2,no,no,no,yes,3.099999905,1,no,no
12,0.31,0.3,0.688888889,1,2,no,no,no,yes,4.300000191,0,no,no
13,0.28,0.27,0.537634409,1,2,no,yes,no,no,4.300000191,0,no,yes
14,0.36,0.34,0.649438202,1,1,no,no,no,no,10.60000038,0,no,no
15,0.18,0.15,0.3625,1,1,no,no,no,no,3.200000048,0,no,no
16,0.36,0.27,0.833333333,2,1,no,no,no,no,3.200000048,0,no,no
17,0.23,0.22,0.642857143,1,1,no,no,no,no,3.200000048,0,no,no
18,0.32,0.27,0.4375,2,1,no,no,no,no,3.200000048,0,no,no
19,0.31,0.29,0.794444444,2,2,no,no,no,no,4.300000191,0,no,no
20,0.37,0.28,0.8,2,2,no,no,no,yes,3.099999905,0,no,no
21,0.37,0.22,0.896341463,6,1,yes,yes,no,no,3.099999905,0,no,yes
22,0.39,0.31,0.878571429,3,2,no,no,no,no,5.300000191,0,no,no
23,0.32,0.32,0.772058824,1,2,no,no,no,yes,10.60000038,0,no,no
24,0.39,0.33,0.901023891,1,2,no,no,no,no,3.200000048,0,no,no
25,0.33,0.31,0.65437788,1,2,no,no,no,yes,3.900000095,0,no,no
26,0.28,0.13,0.62962963,1,2,no,no,no,yes,3.200000048,1,no,no
27,0.37,0.28,0.894736842,1,2,no,no,no,yes,1.799999952,1,no,no
28,0.3,0.25,0.485436893,1,2,no,no,no,yes,3.200000048,0,no,no
29,0.31,0.29,0.949367089,1,2,no,no,no,no,3.900000095,0,no,no
30,0.26,0.21,0.891089109,1,2,no,no,no,yes,1.799999952,0,yes,no
31,0.36,0.29,0.863309353,1,2,no,no,no,yes,4.300000191,0,no,no
32,0.37,0.2,0.714285714,5,1,no,no,no,no,4.300000191,0,no,no
33,0.35,0.26,0.751219512,3,2,no,no,no,yes,3.599999905,0,no,no
34,0.37,0.26,0.90212766,1,2,no,no,no,yes,2,0,no,no
35,0.34,0.28,0.847058824,1,2,no,no,no,no,4.300000191,0,no,no
36,0.38,0.28,0.473684211,1,2,no,no,no,no,3.900000095,1,no,no
37,0.44,0.31,0.687969925,1,1,no,no,no,no,3.099999905,0,no,no
38,0.35,0.22,0.897810219,2,1,no,no,no,no,4.300000191,0,yes,no
39,0.38,0.28,0.880851064,1,2,no,no,no,no,3.099999905,0,no,no
40,0.37,0.34,0.919753086,1,2,no,no,no,yes,3.099999905,0,no,no
41,0.37,0.28,0.936363636,1,2,no,no,no,no,3.900000095,0,no,no
42,0.41,0.1,0.642857143,1,1,no,no,no,no,2,1,no,no
43,0.35,0.34,1.47826087,1,2,no,yes,no,no,3.200000048,0,no,yes
44,0.41,0.3,0.72,3,4,no,no,no,no,3.200000048,0,no,yes
45,0.34,0.28,0.677966102,6,2,yes,no,no,yes,3.099999905,0,no,no
46,0.29,0.19,0.9,2,2,no,no,no,no,3.200000048,0,no,no
47,0.27,0.26,0.8,6,2,yes,no,no,no,3.200000048,0,no,yes
48,0.37,0.27,0.853846154,1,2,no,no,no,yes,3.200000048,0,yes,no
49,0.34,0.3,0.741935484,1,2,no,no,yes,no,3.900000095,0,no,yes
50,0.36,0.15,0.675675676,2,1,no,no,no,yes,3.099999905,0,no,no
51,0.34,0.32,0.643678161,5,3,no,no,no,yes,3.200000048,0,no,no
52,0.27,0.21,0.941176471,1,2,no,no,no,no,2,0,no,no
53,0.16,0.08,0.732484076,1,1,no,no,no,yes,3.200000048,0,no,no
54,0.39,0.28,0.913580247,1,2,no,no,no,yes,3.099999905,0,no,no
55,0.36,0.26,0.207142857,5,2,no,no,no,no,3.200000048,0,no,no
56,0.313999996,0.265,0.93442623,1,2,yes,no,no,no,3.200000048,0,no,no
57,0.34,0.28,0.903448276,1,2,yes,no,no,no,3.900000095,0,no,no
58,0.332000008,0.281000004,0.902439024,2,2,no,no,no,yes,10.60000038,0,no,no
59,0.33,0.33,0.636942675,1,1,no,no,yes,yes,4.300000191,0,no,no
60,0.399000015,0.272000008,0.769230769,1,2,no,no,no,yes,10.60000038,1,no,no
61,0.342000008,0.322000008,0.75,1,2,no,no,no,no,3.200000048,0,no,no
62,0.375999985,0.277999992,0.8,2,1,no,no,no,yes,3.200000048,1,no,no
63,0.320999985,0.251000004,0.888888889,1,2,no,no,no,no,4.300000191,1,no,no
64,0.278999996,0.207999992,0.751879699,1,2,no,no,no,no,5.300000191,0,no,no
65,0.317000008,0.246000004,0.894039735,2,2,no,no,no,no,3.200000048,0,no,no
